codigo,numero,local,autor,partido,casa,tipo_documento,inteiro_teor
7721401,00024,CCJ,Wellington Fagundes,PR/MT,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7721401
7723320,00025,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723320
7723326,00026,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723326
7723332,00027,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723332
7723338,00028,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723338
7723344,00029,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723344
7723350,00030,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723350
7723356,00031,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723356
7723362,00032,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723362
7723368,00033,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723368
7723374,00034,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723374
7723382,00035,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723382
7723425,00036,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723425
7723431,00037,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723431
7723437,00038,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723437
7723443,00039,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723443
7723449,00040,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723449
7723455,00041,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723455
7723461,00042,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723461
7723467,00043,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723467
7723473,00044,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723473
7723479,00045,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723479
7723488,00046,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723488
7723602,00047,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723602
7723608,00048,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723608
7723614,00049,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723614
7723620,00050,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723620
7723626,00051,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723626
7723632,00052,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723632
7723638,00053,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723638
7723644,00054,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723644
7723650,00055,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723650
7723656,00056,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723656
7723662,00057,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723662
7723668,00058,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723668
7723696,00059,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723696
7723703,00060,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723703
7723709,00061,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723709
7723715,00062,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723715
7723721,00063,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723721
7723727,00064,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723727
7723733,00065,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723733
7723739,00066,CCJ,Randolfe Rodrigues,REDE/AP,Senado Federal,EMENDA,http://legis.senado.leg.br/sdleg-getter/documento?dm=7723739
