casa,genero,id_parlamentar,nome_completo,nome_eleitoral,partido,uf
senado,Masculino,146,Ildeu Leonel Oliveira de Paiva,Leonel Paiva,NA,NA
senado,Masculino,3374,Leonel Arcangelo Pavan,Leonel Pavan,PSDB,NA
senado,Masculino,2964,Leoni Mendonça,Leoni Mendonça,NA,NA
senado,Masculino,180,Leonidas Rangel Xausa,Leonidas Rangel Xausa,NA,NA
senado,Masculino,107,Leopoldo Peres Sobrinho,Leopoldo Peres,NA,NA
senado,Masculino,54,Levy Dias,Levy Dias,NA,NA
senado,Masculino,2012,Leônidas de Castro Mello,Leônidas de Mello,NA,NA
senado,Masculino,1813,João Lima Guimarães,Lima Guimarães,NA,NA
senado,Masculino,1796,João de Lima Teixeira,Lima Teixeira,NA,NA
senado,Masculino,199,Lincoln da Cunha Pereira,Lincoln da Cunha Pereira,NA,NA
senado,Masculino,2411,Lindberg Aziz Cury,Lindberg Cury,NA,NA
senado,Masculino,3695,Luiz Lindbergh Farias Filho,Lindbergh Farias,PT,NA
senado,Masculino,2016,Lineu Prestes,Lineu Prestes,NA,NA
senado,Masculino,2966,Linneu Gomes,Linneu Gomes,NA,NA
senado,Masculino,2001,Juvenal Lino de Mattos,Lino de Mattos,NA,NA
senado,Masculino,5040,Lirio Albino Parisotto,Lirio Albino Parisotto,MDB,NA
senado,Masculino,3579,Edison Lobão Filho,Lobão Filho,MDB,NA
senado,Masculino,1854,Joaquim Lobão da Silveira,Lobão da Silveira,NA,NA
senado,Masculino,1449,Antônio Lomanto Júnior,Lomanto Júnior,NA,NA
senado,Masculino,2173,Paulino Lopes da Costa,Lopes da Costa,NA,NA
senado,Masculino,2017,Louremberg Ribeiro Nunes Rocha,Louremberg Nunes,NA,NA
senado,Masculino,2019,Lourival Baptista,Lourival Baptista,NA,NA
senado,Masculino,2020,Lourival Fontes,Lourival Fontes,NA,NA
senado,Masculino,5926,Luiz Cantuária Barreto,Lucas Barreto,PSD,AP
senado,Feminino,6014,Luciana Leão Muniz,Luciana Leão Muniz,NA,NA
senado,Masculino,55,Lucídio Portella Nunes,Lucídio Portella,NA,NA
senado,Masculino,1186,Luis Carlos Heinze,Luis Carlos Heinze,PP,RS
senado,Masculino,5092,Luis Carlos Paes de Castro,Luis Carlos Paes de Castro,PCdoB,NA
senado,Masculino,5104,Luis Cláudio da Costa Avelar,Luis Cláudio da Costa Avelar,PCdoB,NA
