id_autor_parlametria,peso_politico
1141518,0.166954
174400,0.414737
1141488,0.145517
1178912,0.349905
1122158,0.142264
1160604,0.120736
173486,0.158371
1160601,0.459197
1160639,0.125105
1160641,0.415165
1178951,0.111609
174161,0.123393
1178925,0.0811363
1178989,0.200951
173788,0.151549
1160655,0.110637
1178920,0.198718
1152610,0.0695292
1160653,0.162369
1141531,0.120658
174693,1
1160651,0.14096
1178861,0.123457
1122466,0.139058
1178945,0.104294
173466,0.213515
174371,0.135579
1178990,0.11652
1178921,0.125755
1178933,0.356023
1178874,0.160017
1178961,0.10752
174356,0.365028
1178946,0.471432
1178947,0.117058
192776,0.0753542
1177282,0.125059
1178922,0.370073
1160976,0.094827
1178934,0.387487
1178863,0.0173823
1195866,0.119391
173808,0.197733
1160610,0.102927
174376,0.117634
1141553,0.162682
174283,0.128135
1137070,0.0571
1141555,0.0347646
1178992,0.118602
1160569,0.120309
1178952,0.10855
1160518,0.221228
174043,0.404823
174439,0.183231
1178889,0.0803544
1160632,0.146128
1160592,0.122726
1204554,0
1204521,0.0672317
1204379,0.211742
1204560,0.0968779
1204528,0.0185754
1121948,0.0675507
174646,0.175378
1204495,0.0812222
1204549,0.144673
1204413,0.0173823
1204545,0
1204501,0.11387
1204571,0
1204544,0
1204503,0.0759877
1204516,0.0185754
1204353,0.0173823
1204400,0.0521469
1204356,0.0173823
1204423,0.427229
1204515,0.0664701
173696,0.152179
1204414,0
1204509,0.067985
1109429,0.135582
1204358,0.10415
1207176,0.166244
1204374,0.0834351
1204388,0
1204561,0.0937114
1204397,0.0173823
1204551,0.381242
1204352,0.190394
1204572,0
1204487,0.0831961
1204507,0.0350288
1204361,0.0641396
1204460,0.0294014
1204426,0.0353039
1204369,0.0173087
1204499,0.13684
1204380,0.100703
1204370,0.0645268
1204488,0.132213
1204496,0.0324021
1204504,0.0948413
1205476,0.0934391
1204490,0.0287151
1204476,0.175821
1204462,0.0737609
1204440,0.114568
1204376,0.00340283
1204378,0
1204514,0.0173823
1135054,0.0716541
1204355,0.127414
1204367,0.0347646
1204454,0.0312281
1204409,0.0302868
1204459,0.0437955
1116379,0.116512
1205548,0.0785702
1204511,0.0832086
1204451,0.0125868
1204512,0.00809628
1204569,0.0143035
1204542,0.122361
1204518,0
1212625,0.139058
1204481,0.0934936
1204439,0.0974956
1204450,0.0608874
1204351,0
1204412,0.0481378
181297,0.098133
1204434,0.0914801
1204562,0.0851573
1204421,0.0556242
1204541,0
1204552,0.312882
1204500,0.101871
1204364,0.155049
1204389,0.186033
1198783,0.165381
1161550,0.0779817
1207309,0.0456446
1204537,0.045797
1204482,0.137242
1211866,0.229075
168720,0.0935543
1204368,0.00490549
1204477,0
1204398,0.295499
1204371,0.0222261
1204407,0.137988
1212504,0.183682
1204427,0.0834351
1204411,0.0173823
1204354,0.0709396
1204447,0.0865739
1204392,0.111673
1204510,0.0347646
1204494,0.523846
1204393,0.101086
174200,0.163505
1115746,0
1204473,0.0126268
1204484,0.0185025
1204527,0.136053
1204394,0.123765
1204575,0.0606319
1204491,0.0695292
1204570,0
1204365,0.0341018
1204419,0.118179
1107283,0.116336
1204513,0
1204531,0.0747372
1204442,0.0258811
173460,0.168274
1204408,0.149369
1204456,0.0436372
1204465,0.00474864
1204548,0.0439374
1204373,0
1204444,0.0524395
1204539,0.00151721
1204533,0
1204387,0.0305083
1204399,0.103772
1204438,0.110635
1204437,0.0521469
1204557,0.140453
1204360,0.0702348
1204425,0.0695292
1204534,0.0445929
1204464,0.118824
1204519,0.0495597
1157130,0.0682329
1204564,0.295499
1204508,0
1204436,0.0869115
1108338,0.103322
1204435,0.0836573
1204429,0.0805207
1141459,0.381378
1204576,0
1204468,0.393445
1204546,0.0774017
1205550,0.0799586
1204386,0.0665642
1204472,0.156385
1204391,0.445773
1204555,0.102001
1209189,0.106264
1204563,0.111444
1204474,0.0521469
1204420,0.116467
1204372,0.0173823
1204457,0.0347646
1204520,0.0156578
1204502,0.0173823
1204497,0.0993833
1204574,0.088667
1204550,0
1204536,0
198057,0.0973409
1160534,0.081077
1204375,0.060577
1204359,0.109866
1204547,0.320296
192102,0.185842
1139285,0.445341
1204405,0.0623584
1204382,0
1204523,0.05882
1204404,0.0914727
1204381,0
1204410,0.405069
1204448,0.0173823
1160645,0.0785099
1204485,0.0715508
1204543,0
1204455,0.0224161
1204526,0.0834351
1204418,0.0521469
1204458,0.219098
1204469,0.0347646
1204471,0.0450553
1212749,0.215278
1156190,0.370616
1205863,0
181055,0.181611
1204452,0.0834351
1204540,0.0278117
1204428,0.105675
1204432,0
1204383,0.116009
1204357,0.165112
1204416,0
190842,0.11023
1206231,0.0157162
1204466,0.088505
1143084,0.105788
1197438,0.110746
1204385,0.0347646
1204505,0
1204396,0.0130326
1204483,0.047908
1204478,0.0761685
174044,0.172297
2151,0.139058
25927,0.139058
25971,0.139058
25988,0.278117
25959,0
24560,0.457165
23396,0.0521469
25535,0.330264
25899,0.375214
25748,0.375057
21173,0.365028
25411,0.365876
1204433,0.0857322
176874,0.186297
1133810,0.138923
1204558,0.127976
1204556,0.0885212
1204522,0.134954
1204431,0.0189999
1204506,0.119193
1204430,0.0790091
1204403,0.115925
1204566,0
175431,0.165631
1204486,0.139058
1141508,0.125984
1154178,0.0869115
1204453,0.0502427
1204449,0.0252249
1204415,0
1146307,0.185136
1204479,0
1204498,0.0520062
1204363,0.090048
1204422,0.0173823
1204475,0.12836
1204441,0.0683604
1204573,0.0613553
1204553,0.160362
1205535,0.170882
1204377,0.0339562
1204538,0.106534
1204461,0.0575818
1204492,0.10462
1133968,0.148905
190201,0.0357165
1122974,0.39347
1204395,0.0875872
1204406,0.119363
173943,0.172894
1204524,0.0840034
1204529,0.0574288
1204390,0.0483777
1204446,0.0200612
1204565,0.144124
1204467,0.0525915
1204567,0.0521469
1141523,0.0943247
1205865,0.147724
173801,0.209886
1204362,0.0727285
1204489,0.0521469
174305,0.108184
1204530,0.371306
1204366,0.06368
1204480,0.107861
1204525,0.0714372
173604,0.0933704
1160635,0.121596
1204535,0.0888473
25783,0.0173823
23806,0.366733
1204532,0
1179587,0.278117
1204463,0
1204559,0.123647
1204517,0
24981,0.0695292
25982,0
2945,0.347646
25967,0.107731
25529,0.153958
2751,0.112134
25990,0
2470,0.0943838
2739,0.116034
2475,0.128613
25998,0.360477
23830,0.921262
25537,0.330264
24994,0.668399
25976,0
23777,0.496637
25718,0.380735
25531,0.0173823
222,0.395503
25953,0.350629
25540,0.312882
24525,0.0521469
2345,0.107729
25894,0.427108
25008,0.395398
25385,0.0611041
24770,0.363945
235,0.100657
2581,0.100209
24545,0.115619
24531,0.0714857
25627,0.139058
25895,0.312882
25350,0.399575
23361,0.0869115
290,0.0695292
25929,0
21249,0.0347646
25533,0.119193
25979,0.0656801
21186,0.476287
25585,0.0173823
25557,0.139058
25666,0.361702
25376,0.0964358
2742,0.123935
2285,0.113346
25422,0.362385
25942,0
21023,0.0347646
26027,0.643145
25985,0.365028
25525,0.312882
25924,0
25523,0.278117
2825,0.358875
2374,0.365028
25502,0.104196
25012,0.723893
25236,0.0347646
270,0.0587408
2677,0.365028
25905,0.596187
25732,0.337366
25352,0.0770198
25322,0.312882
25527,0.330264
