data_hora,descricao_situacao,descricao_tramitacao,despacho,id_prop,id_situacao,id_tipo_tramitacao,regime,sequencia,sigla_orgao,uri_orgao,url,evento,local,casa,situacao_comissao
2017-08-23T10:30:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por falta de quórum,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",45,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-08-30T10:00:00Z,Aguardando Parecer,Não Deliberado,Parecer lido pelo Deputado Enio Verri.. ,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",46,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-08-30T10:00:00Z,Aguardando Parecer,Discussão da Materia pelos Deputados,Discutiu a Matéria o Dep. Edmilson Rodrigues (PSOL-PA).,2056568,915,242,"Ordinária (Art. 151, III, RICD)",47,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-08-30T10:00:00Z,Aguardando Parecer,Pedido de Vista,Vista ao Deputado Edmilson Rodrigues.,2056568,915,420,"Ordinária (Art. 151, III, RICD)",48,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,pedido_de_vista,CFT,Comissões,Discussão e votação
2017-09-04T20:27:00Z,Aguardando Parecer,Encerramento de Prazo,Prazo de Vista Encerrado,2056568,915,600,"Ordinária (Art. 151, III, RICD)",49,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,encerramento_prazo_emendas,CFT,Comissões,Discussão e votação
2017-09-05T09:27:00Z,Aguardando Parecer,Declaração de Voto em Separado,"Apresentação do Voto em Separado n. 1 CFT, pelo Deputado Edmilson Rodrigues (PSOL-PA).",2056568,915,431,"Ordinária (Art. 151, III, RICD)",50,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1594525,voto_em_separado,CFT,Comissões,Discussão e votação
2017-09-05T09:27:00Z,Aguardando Parecer,Declaração de Voto em Separado,"Apresentação do Voto em Separado n. 2 CFT, pelo Deputado Edmilson Rodrigues (PSOL-PA).",2056568,915,431,"Ordinária (Art. 151, III, RICD)",51,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,voto_em_separado,CFT,Comissões,Discussão e votação
2017-09-05T10:00:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o inicío da Ordem do Dia do Plenário.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",52,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-09-13T10:30:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por acordo dos Srs. Líderes.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",53,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-09-20T10:00:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por acordo dos Srs. Líderes.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",54,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-09-27T10:00:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o inicío da Ordem do Dia do Plenário.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",55,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-09-28T09:40:00Z,Aguardando Parecer,Recebimento - Relator,"Apresentação do Parecer do Relator, PRL 2 CFT, pelo Dep. Alfredo Kaefer",2056568,915,501,"Ordinária (Art. 151, III, RICD)",56,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1602783,NA,CFT,Comissões,Discussão e votação
2017-09-28T09:40:00Z,Aguardando Parecer,Parecer do Relator,"Parecer do Relator, Dep. Alfredo Kaefer (PSL-PR), pela compatibilidade e adequação financeira e orçamentária do Projeto, na forma do Substitutivo adotado pela  Comissão de Meio Ambiente e de Desenvolvimento Sustentável, com subemendas.",2056568,915,322,"Ordinária (Art. 151, III, RICD)",57,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1602783,parecer_pela_aprovacao_com_substitutivo,CFT,Comissões,Discussão e votação
2017-10-04T09:30:00Z,Aguardando Parecer,Não Deliberado,Não deliberado face o encerramento da reunião por acordo dos Srs. Líderes.,2056568,915,1008,"Ordinária (Art. 151, III, RICD)",58,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,NA,NA,CFT,Comissões,Discussão e votação
2017-10-05T00:00:00Z,Aguardando Parecer,Notificações,Recebido o Informativo da CONOF.,2056568,915,1005,"Ordinária (Art. 151, III, RICD)",59,CFT,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1606497,NA,CFT,Comissões,Discussão e votação
