data_hora,descricao_situacao,descricao_tramitacao,despacho,id_prop,id_situacao,id_tipo_tramitacao,regime,sequencia,sigla_orgao,uri_orgao,url,fase,evento
2007-02-14T17:26:00Z,NA,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 267, DE 2007, pelo Deputado(a) Fernando Coruja, que solicita o desarquivamento de proposição.",46249,NA,640,"Prioridade (Art. 151, II, RICD)",61,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=435195,iniciativa,NA
2007-02-15T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Roberto Balestra (PP-GO)",46249,NA,320,"Prioridade (Art. 151, II, RICD)",62,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,relatoria,NA
2007-03-14T17:07:00Z,NA,Recebimento - Relator,"Apresentação do Parecer do Relator, PRL 1 CAPADR, pelo Dep. Roberto Balestra",46249,NA,501,"Prioridade (Art. 151, II, RICD)",63,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=442347,relatoria,NA
2007-03-14T17:07:00Z,NA,Parecer do Relator,"Parecer do Relator, Dep. Roberto Balestra (PP-GO), pela aprovação deste, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005, e do PL 2495/2000, apensados, com substitutivo.",46249,NA,322,"Prioridade (Art. 151, II, RICD)",64,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=442347,discussao_deliberacao,NA
2007-03-21T00:00:00Z,NA,Desarquivamento a Pedido,"INDEFIRO a solicitação de desarquivamento desta proposição, conforme despacho exarado no REQ-98/2007.
DCD de 22 03 07 PÁG 11392 COL 01.",46249,NA,640,"Prioridade (Art. 151, II, RICD)",66,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=440464,discussao_deliberacao,NA
2007-03-21T10:00:00Z,NA,Não Deliberado,Não Deliberado,46249,NA,1008,"Prioridade (Art. 151, II, RICD)",65,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,discussao_deliberacao,NA
2007-03-28T10:00:00Z,NA,Retirada de Pauta,Retirado de pauta pelo Relator.,46249,NA,250,"Prioridade (Art. 151, II, RICD)",67,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,discussao_deliberacao,NA
2007-04-11T00:00:00Z,NA,Desarquivamento a Pedido,"INDEFIRO a solicitação de desarquivamento desta proposição, conforme despacho exarado no REQ-267/2007.
DCD de 12 04 07 PÁG 15830 COL 01.",46249,NA,640,"Prioridade (Art. 151, II, RICD)",68,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=445440,discussao_deliberacao,NA
2007-07-04T10:00:00Z,NA,Pedido de Vista,Vista ao Deputado Assis do Couto.,46249,NA,420,"Prioridade (Art. 151, II, RICD)",69,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,discussao_deliberacao,NA
2007-07-10T00:00:00Z,NA,Devolução de Vista,Devolução de Vista (Dep. Assis do Couto).,46249,NA,602,"Prioridade (Art. 151, II, RICD)",70,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,discussao_deliberacao,NA
2007-08-08T10:00:00Z,NA,Aprovação,Aprovado por Unanimidade o Parecer,46249,NA,240,"Prioridade (Art. 151, II, RICD)",71,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,discussao_deliberacao,aprovacao_parecer
2007-08-09T11:21:00Z,NA,Encaminhamento,Encaminhado à(ao) CCJC através da guia de Remessa (GR/CAPADR) nº 27/2007.,46249,NA,180,"Prioridade (Art. 151, II, RICD)",72,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,discussao_deliberacao,NA
2007-08-09T11:21:00Z,NA,Publicação de Proposição,Encaminhamento de Parecer à CCP para publicação.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",73,CAPADR,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,NA,discussao_deliberacao,NA
2007-08-09T11:26:00Z,NA,Recebimento,"Recebimento pela CCJC, com as proposições PL-5852/2001, PL-6189/2005, PL-2495/2000, PL-5884/2005, PL-3125/2000 apensadas.",46249,NA,500,"Prioridade (Art. 151, II, RICD)",74,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,NA,iniciativa,NA
2007-08-09T11:31:00Z,NA,Publicação de Proposição,Parecer recebido para publicação.,46249,NA,604,"Prioridade (Art. 151, II, RICD)",75,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,NA,iniciativa,NA
2007-10-03T00:00:00Z,NA,Designação de Relator,"Designado Relator, Dep. Moreira Mendes (PPS-RO)",46249,NA,320,"Prioridade (Art. 151, II, RICD)",76,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,NA,relatoria,NA
2011-06-20T11:13:00Z,NA,Notificação de Apensação,Apense-se a este(a) o(a) PL-1567/2011.,46249,NA,504,"Prioridade (Art. 151, II, RICD)",77,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=890059,relatoria,NA
2011-07-13T15:08:00Z,NA,Notificação de Apensação,Apensação do PL 1567/2011 a esta proposição.,46249,NA,504,"Prioridade (Art. 151, II, RICD)",78,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,NA,relatoria,NA
2011-07-13T15:23:00Z,NA,Notificação de Apensação,Apense-se a este(a) o(a) PL-1779/2011.,46249,NA,504,"Prioridade (Art. 151, II, RICD)",79,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=899236,relatoria,NA
2011-08-02T10:42:00Z,NA,Notificação de Apensação,Apensação do PL 1779/2011 a esta proposição.,46249,NA,504,"Prioridade (Art. 151, II, RICD)",80,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,NA,relatoria,NA
2011-11-01T16:23:00Z,NA,Recebimento - Relator,"Apresentação do Parecer do Relator n. 1 CCJC, pelo Deputado Moreira Mendes (PSD-RO).",46249,NA,501,"Prioridade (Art. 151, II, RICD)",81,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=934944,relatoria,NA
2011-11-01T16:23:00Z,NA,Parecer do Relator,"Parecer do Relator, Dep. Moreira Mendes (PSD-RO), pela constitucionalidade, juridicidade e técnica legislativa deste, do Substitutivo da Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural, do PL 1567/2011, do PL 1779/2011, do PL 3125/2000, do PL 5852/2001, do PL 5884/2005, do PL 6189/2005 e do PL 2495/2000, apensados, com emendas.",46249,NA,322,"Prioridade (Art. 151, II, RICD)",82,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=934944,discussao_deliberacao,NA
2012-01-31T00:00:00Z,NA,Notificação de Apensação,"Apense-se a este(a) o(a) PL-3063/2011.
DCD do dia 04/02/12 PÁG 00434 COL 01. ",46249,NA,504,"Prioridade (Art. 151, II, RICD)",83,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=958088,discussao_deliberacao,NA
2012-03-06T17:10:00Z,NA,Notificação de Apensação,Apensação do PL 3063/2011 a esta proposição.,46249,NA,504,"Prioridade (Art. 151, II, RICD)",84,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,NA,discussao_deliberacao,NA
2012-03-13T00:00:00Z,NA,Devolução ao Relator,"Devolvido ao Relator, Dep. Moreira Mendes (PSD-RO)",46249,NA,170,"Prioridade (Art. 151, II, RICD)",85,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,NA,discussao_deliberacao,NA
2012-08-30T10:09:00Z,NA,Recebimento - Relator,"Apresentação do Parecer do Relator n. 2 CCJC, pelo Deputado Moreira Mendes (PSD-RO).",46249,NA,501,"Prioridade (Art. 151, II, RICD)",86,CCJC,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1022067,discussao_deliberacao,NA
