legislatura,id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar
53,141467,1141467,camara,Francisco Tenório,M,PMN,AL,Efetivado,0,1
53,141437,1141437,camara,Frank Aguiar,M,PTB,SP,Titular,0,1
53,86634,186634,camara,Fredo Junior,M,PCdoB,DF,Suplente,0,1
53,74189,174189,camara,Freire Júnior,M,MDB,TO,Suplente,0,1
53,74200,174200,camara,Gastão Vieira,M,PROS,MA,Suplente,1,1
53,74544,174544,camara,Geddel Vieira Lima,M,PMDB,BA,Titular,0,1
53,141441,1141441,camara,George Hilton,M,PSC,MG,Titular,0,1
53,155920,1155920,camara,Geraldinho,M,PSOL,RS,Suplente,0,1
53,141442,1141442,camara,Geraldo Pudim,M,PR,RJ,Titular,0,1
53,74374,174374,camara,Geraldo Resende,M,PSDB,MS,Suplente,0,1
53,74566,174566,camara,Geraldo Simões,M,PT,BA,Titular,0,1
53,74151,174151,camara,Geraldo Thadeu,M,PSD,MG,Titular,0,1
53,141443,1141443,camara,Germano Bonow,M,DEM,RS,Titular,0,1
53,141444,1141444,camara,Gerônimo Da Adefal,M,PFL,AL,Titular,0,1
53,74076,174076,camara,Gerson Peres,M,PP**,PA,Titular,0,1
53,73472,173472,camara,Gervásio Silva,M,PSDB,SC,Titular,0,1
53,74383,174383,camara,Giacobo,M,PL,PR,Titular,1,1
53,74581,174581,camara,Gilmar Machado,M,PT,MG,Titular,0,1
53,74077,174077,camara,Giovanni Queiroz,M,PDT,PA,Efetivado,0,1
53,159265,1159265,camara,Gisela Sequeira,F,PSDB,PA,Suplente,0,1
53,74558,174558,camara,Givaldo Carimbão,M,AVANTE,AL,Titular,0,1
53,141446,1141446,camara,Gladson Cameli,M,PP**,AC,Titular,0,1
53,152605,1152605,camara,Glauber Braga,M,PSOL,RJ,Titular,1,1
53,74419,174419,camara,Gonzaga Patriota,M,PSB,PE,Titular,1,1
53,129618,1129618,camara,Gorete Pereira,F,PR,CE,Titular,0,1
53,141447,1141447,camara,Guilherme Campos,M,PSD,SP,Titular,0,1
53,74139,174139,camara,Guilherme Menezes,M,PT,BA,Titular,0,1
53,73460,173460,camara,Gustavo Fruet,M,PDT,PR,Titular,1,1
53,73940,173940,camara,Henrique Afonso,M,PV,AC,Titular,0,1
53,74324,174324,camara,Henrique Eduardo Alves,M,PMDB,RN,Titular,0,1
53,73482,173482,camara,Henrique Fontana,M,PT,RS,Titular,1,1
53,73772,173772,camara,Hermes Parcianello,M,MDB,PR,Titular,1,1
53,141448,1141448,camara,Homero Pereira,M,PSD,MT,Titular,0,1
53,141450,1141450,camara,Hugo Leal,M,PSD,RJ,Titular,1,1
53,74662,174662,camara,Humberto Souto,M,PPS,MG,Suplente,0,1
53,74780,174780,camara,Iara Bernardi,F,PT,SP,Efetivado,0,1
53,133853,1133853,camara,Ibsen Pinheiro,M,PMDB,RS,Titular,0,1
53,141451,1141451,camara,Ilderlei Cordeiro,M,PPS,AC,Titular,0,1
53,141389,1141389,camara,Indio Da Costa,M,PSD,RJ,Titular,0,1
53,74421,174421,camara,Inocêncio Oliveira,M,PR,PE,Titular,0,1
53,141468,1141468,camara,Iran Barbosa,M,PT,SE,Titular,0,1
53,74162,174162,camara,Iriny Lopes,F,PT,ES,Titular,0,1
53,141453,1141453,camara,Íris De Araújo,F,PMDB,GO,Titular,0,1
