codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,data_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando,fase,casa,evento,local
2316907,2,2015-11-26,1,"Devolvido pelo relator, Senador Fernando Bezerra Coelho, com minuta de parecer pela aprovação da matéria, pela rejeição das Emendas de Plenário nºs 1 a 5,7,11,13,14,17,22,23,34 a 36,38,39,44 a 46 a 53; pela aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32 e 43, pela declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; e pela aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40 e 41, com a apresentação do Substitutivo que apresenta.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,42,PRONTPAUT,pronta_para_a_pauta_na_comissão,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CI
2317239,2,2015-11-27,1,"Matéria constante da Pauta da 42ª Reunião da Comissão de Serviços de Infraestrutura, agendada para o dia 02/12/2015.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,138,INPAUTA,incluída_na_pauta_da_reunião,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CI
2318195,2,2015-12-01,1,"Ao projeto, foi apresentada a Emenda nº 65-CI, de autoria do Senador Lasier Martins.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,138,INPAUTA,incluída_na_pauta_da_reunião,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CI
2318217,2,2015-12-02,1,"O relator, Senador Fernando Bezerra Coelho, apresenta nova minuta de parecer, com alterações no texto, pela aprovação da matéria, com rejeição das Emendas de Plenário nºs 1 a 5,7,11,13,14,17,22,23,34 a 36,38,39,44 a 46 a 53; aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32 e 43; declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; e aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40 e 41, nos termos do Substitutivo que apresenta.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,138,INPAUTA,incluída_na_pauta_da_reunião,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CI
2318221,2,2015-12-02,2,"Em reunião realizada nesta data, é lido e aprovado o relatório do Senador Fernando Bezerra Coelho, que passa a constituir parecer da Comissão, pela aprovação da matéria, com rejeição das Emendas de Plenário nºs 1 a 5,7,11,13,14,17,22,23,34 a 36,38,39,44 a 46 a 53; aprovação das Emendas de Plenário nºs 8,10,18,15,16,21,24,25,28,29,32 e 43; declaração de prejudicialidade das Emendas nºs 26,27,30,42,52,54 a 56; e aprovação parcial das Emendas de Plenário nºs 6,9,12,18,19,20,31,33,37,40 e 41, nos termos da Emenda nº 66-CI (substitutivo).
      Anexadas as fls. 868 a 945.",S,NA,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,89,APRVPAR,aprovado_parecer_na_comissão,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Encaminhamento,Comissões,aprovacao_parecer,CI
2318443,2,2015-12-02,3,À SCLSF.,S,2015-12-02,59,A,SF,Senado Federal,CI,Comissão de Serviços de Infra-Estrutura,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Encaminhamento,Comissões,NA,CI
2326855,4,2016-02-15,1,Este processo contém 280 (duzentos e oitenta) folhas numeradas e rubricadas.,S,2016-02-15,436,A,SF,Senado Federal,SEPRTL,Serviço de Protocolo Legislativo,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,13,AGLEIT,aguardando_leitura,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Encaminhamento,Apresentação,NA,CI
2326875,3,2016-02-15,1,"Devolvido à CAE, para prosseguimento da tramitação.",S,2016-02-15,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,544,A,SF,Senado Federal,SACAE,Secretaria de Apoio à Comissão de Assuntos Econômicos,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Encaminhamento,Apresentação,NA,CI
2326874,4,2016-02-15,2,Encaminhado ao Plenário.,S,2016-02-16,443,A,SF,Senado Federal,SLSF,Secretaria Legislativa do Senado Federal,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Encaminhamento,Apresentação,NA,CI
2326878,3,2016-02-15,2,Matéria aguardando distribuição.,S,NA,38,C,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,38,C,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,87,AGDREL,aguardando_designação_do_relator,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Encaminhamento,Comissões,NA,CAE
2327046,4,2016-02-16,1,"Encaminhado à publicação o Ofício nº 128/2015, de 9 de dezembro de 2015, do Presidente da Comissão Especial de Desenvolvimento Nacional, que solicita o envio do presente projeto àquela Comissão.
      A matéria vai à Comissão Especial do Desenvolvimento Nacional, em atendimento ao Ofício lido e nos termos do Requerimento nº 935, de 2015.",S,2016-02-18,1998,C,SF,Senado Federal,PLEN,Plenário do Senado Federal,1951,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Encaminhamento,Comissões,NA,CAE
2328547,3,2016-02-23,1,"O presidente em exercício da Comissão, senador Raimundo Lira, designa o senador Fernando Bezerra Coelho relator da matéria.",S,NA,38,C,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,38,C,SF,Senado Federal,CAE,Comissão de Assuntos Econômicos,91,RELATOR,matéria_com_a_relatoria,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CAE
2331392,4,2016-03-09,1,"Na presente data, ocorreu a 16ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi aprovado requerimento de autoria do Sen. Antônio Anastasia, solicitando a realização de audiência pública para instruir o Projeto.
      Juntado o requerimento aprovado (fl. 283).",S,NA,1951,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,1951,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CAE
2349910,4,2016-07-13,1,Juntado Relatório do Senador Fernando Bezerra. (fls. 284/356),S,NA,1951,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CAE
2349935,4,2016-07-13,2,"Matéria constante da Pauta da 2ª Reunião da Comissão Especial do Desenvolvimento Nacional, agendada para o dia 13/07/2016.",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,138,INPAUTA,incluída_na_pauta_da_reunião,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Análise do relator,Comissões,NA,CAE
2350011,4,2016-07-13,3,"Na presente data, foi realizada a 2ª reunião da Comissão, oportunidade em que foi concedida vista coletiva ao PLS 559/2013.",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,90,PEDVISTA,pedido_de_vista_concedido,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,pedido_vista,CAE
2350020,4,2016-07-13,4,Juntadas 03 emendas do Senador Roberto Muniz. (fls. 357/361),S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,90,PEDVISTA,pedido_de_vista_concedido,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,pedido_vista,CAE
2351757,4,2016-08-02,1,Juntado o relatório do Sen. Fernando Bezerra Coelho (fls. 362 a 433).,S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2352182,4,2016-08-04,1,Juntado Relatório do Senador Fernando Bezerra Coelho. (fls.434/469),S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2352834,4,2016-08-11,1,Juntadas 10 emendas do Senador Roberto Muniz. (fls. 470/489),S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2352907,4,2016-08-11,2,Juntado relatório do Sen. Fernando Bezerra Coelho (fls. 490/561),S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2353139,4,2016-08-15,1,"Matéria constante da Pauta da 3ª Reunião da Comissão Especial do Desenvolvimento Nacional, agendada para o dia 17/08/2016.",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,138,INPAUTA,incluída_na_pauta_da_reunião,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2353180,4,2016-08-16,1,Juntada uma emenda de autoria do Senador Roberto Muniz. (fls.562/563),S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2353337,4,2016-08-17,1,Juntado relatório do Sen. Fernando Bezerra Coelho (fls. 364/436).,S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2353375,4,2016-08-17,2,"Recebido, nesta data, relatório do Sen. Fernando Bezerra Coelho.",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2353411,4,2016-08-17,3,"Na presente data, ocorreu a 3ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi concedida vista coletiva ao Relatório e foi aprovado requerimento de realização de audiência pública, de autoria do Sen. José Aníbal e outros Senadores, para instruir a matéria.
      Juntados:
      1. Lista de presença da 3ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 437);
      2. Relatório do Sen. Fernando Bezerra Coelho (fls. 438 a 510);
      3. Requerimento de realização de audiência pública, aprovado na Comissão Especial do Desenvolvimento Nacional (fls. 511 e 512).",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,90,PEDVISTA,pedido_de_vista_concedido,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,pedido_vista,CAE
2353797,4,2016-08-23,1,"Juntado, nesta data, o Ofício CAU/BR nº 286/2016-PR, do Conselho de Arquitetura e Urbanismo do Brasil, contendo manifestação acerca do Projeto (fls. 513 a 516).",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2353959,4,2016-08-24,1,"Na presente data, ocorreu a 4ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi realizada audiência pública para instrução do Projeto, com a participação dos seguintes convidados: José Roberto Bernasconi, Presidente do Sindicato Nacional das Empresas de Arquitetura e Engenharia Consultiva; Caio Loureiro, Representante do Sindicato Nacional da Indústria da Construção Pesada; Marcelo Bruto Correia da Costa, Gestor Público; José Tadeu da Silva, Presidente do Conselho Federal de Engenharia e Agronomia; Fernando Vernalha Guimarães, representante da Câmara Brasileira da Indústria da Construção; Rafael Jardim Cavalcante, Secretário da Secretaria Extraordinária de Operações Especiais em Infraestrutura do Tribunal de Contas da União; João Francisco Borges da Costa, Representante da Federação de Seguros Gerais; e Walter Baere, Representante do Ministério do Planejamento, Desenvolvimento e Gestão.
      Juntados:
      1.	Lista de presença da 4ª reunião da Comissão Especial do Desenvolvimento Nacional (fl. 517);
      2.	Manifestação do Sindicato da Arquitetura e da Engenharia (fls. 518 a 527).",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2354076,4,2016-08-24,2,"Juntado Ofício, conforme cópia anexa. (fls. 528/530)",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2354269,4,2016-08-26,1,"Juntada a Emenda nº 81, de autoria do Senador Pedro Chaves (fls. 531-532).",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2354288,4,2016-08-29,1,"Juntadas as Emendas nº 82, 83 e 84, de autoria do Sen. José Aníbal (fls. 533 a 538).",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2354459,4,2016-09-01,1,Juntada sugestão da ABCE - Associação Brasileira de Consultores de Engenharia. (fls. 539/544),S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2354669,4,2016-09-08,1,Juntado relatório do Sen. Fernando Bezerra Coelho (fls. 545/621).,S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2354877,4,2016-09-09,1,"Juntadas as Emendas nºs 85 a 91, de autoria do Sen. Paulo Bauer (fls. 622 a 634).",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2358003,4,2016-10-17,1,"Matéria constante da Pauta da 8ª Reunião da Comissão Especial do Desenvolvimento Nacional, agendada para o dia 19/10/2016.",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,138,INPAUTA,incluída_na_pauta_da_reunião,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2358395,4,2016-10-19,1,Matéria não apreciada nesta data em virtude do cancelamento da reunião da Comissão Especial do Desenvolvimento Nacional.,S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
2360058,4,2016-11-04,1,"Juntado, na presente data, relatório do Sen. Fernando Bezerra Coelho (fls. 635/712)",S,NA,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,2034,C,SF,Senado Federal,CEDN,Comissão Especial do Desenvolvimento Nacional,NA,NA,NA,115926,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00559,2013,Não,Discussão e votação,Comissões,NA,CAE
