data_tramitacao,local,fase,evento,casa,global
2014-02-21,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-17,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-17,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-18,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-03-19,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-05-30,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-08-01,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-09-02,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-10-02,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-11-25,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-11-25,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2014-12-18,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-11,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-19,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-20,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-25,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-25,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-03-26,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-04-28,CDR,Análise do relator,NA,Comissões, - Origem (Senado)
2015-04-28,CAE,Recebimento,NA,Comissões, - Origem (Senado)
2015-05-04,CAE,Análise do relator,designado_relator,Comissões, - Origem (Senado)
2015-07-02,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2015-07-07,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2015-07-09,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2015-07-09,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2015-08-25,CAE,Discussão e votação,aprovacao_audiencia_publica,Comissões, - Origem (Senado)
2015-09-24,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2015-12-02,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2016-03-03,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-03-08,CAE,Discussão e votação,pedido_vista,Comissões, - Origem (Senado)
2016-03-10,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-03-15,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2016-04-01,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-04-05,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2016-04-08,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-04-12,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2016-04-20,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-04-26,CAE,Discussão e votação,pronta_para_pauta,Comissões, - Origem (Senado)
2016-04-29,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-05-12,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-05-16,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-05-17,CAE,Encaminhamento,aprovacao_parecer,Comissões, - Origem (Senado)
2016-05-17,CAE,Encaminhamento,NA,Comissões, - Origem (Senado)
2016-05-18,CAE,Discussão e votação,NA,Comissões, - Origem (Senado)
2016-05-18,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-05-19,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-05-19,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-05-19,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-05-30,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-05-30,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-05-30,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-06-07,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-06-07,Plenário,Discussão e votação,aprovacao_substitutivo,Plenário, - Origem (Senado)
2016-06-16,Plenário,Discussão e votação,NA,Plenário, - Origem (Senado)
2016-06-21,Mesa - Câmara,Discussão e votação,virada_casa,Plenário, - Revisão (Câmara)
