id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,autor_nome,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura,palavras_chave
14562,PEC,215,"Acrescenta o inciso XVIII ao art. 49; modifica o § 4º e acrescenta o § 8º ambos no art. 231, da Constituição Federal. Inclui dentre as competências exclusivas do Congresso Nacional a aprovação de demarcação das terras tradicionalmente ocupadas pelos índios e a ratificação das demarcações já homologadas; estabelecendo que os critérios e procedimentos de demarcação serão regulamentados por lei.  
",2000-03-28T00:00:00Z,camara,Almir Sá,Demarcações passam a ser competência exclusiva do Congresso,Meio Ambiente,Especial,Plenário,Dep. Osmar Serraglio (PMDB-PR),0,NA
2170839,PL,9950,"Dispõe sobre a conservação e o uso sustentável do Bioma Pantanal e dá outras providências. Altera as Leis nº 9.393, de 1996 e 12.651, de 2012.",2018-04-04T16:08:00Z,camara,Alessandro Molon,Lei do Pantanal - Molon,Meio Ambiente,Ordinária,Conclusiva,Dep. Nilto Tatto (PT-SP),0.92,NA
944279,PL,25,Dispõe sobre a conservação e a utilização sustentável da vegetação nativa do Bioma Cerrado.  ,2015-02-02T15:48:00Z,camara,Sarney Filho,Lei do Cerrado,Meio Ambiente,Ordinária,Conclusiva,Dep. Augusto Carvalho (SD-DF),0.49,NA
102721,PLS,626,Dispõe sobre o cultivo sustentável da cana-de-açúcar em áreas alteradas e nos biomas Cerrado e Campos Gerais situados na Amazônia Legal e dá outras providências.,2011-10-05T00:00:00Z,senado,Flexa Ribeiro PSDB / PA,Cana na Amazônia,Meio Ambiente,Ordinária,Plenário,Roberto Muniz,0.53,NA
103831,PLS,750,Dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal e dá outras providências.,2011-12-20T00:00:00Z,senado,Blairo Maggi PR / MT,Lei do Pantanal - Maggi,Meio Ambiente,Ordinária,Plenário,Pedro Chaves,1.93,NA
1635730,PL,2646,"Dispõe sobre o subsídio de Ministro do Supremo Tribunal Federal referido no inciso XV do art. 48 da Constituição Federal, e dá outras providências. Estabelece que o subsídio mensal de Ministro do Supremo Tribunal Federal será de R$ 39.293,38 (trinta e nove mil, duzentos e noventa e três reais e trinta e oito centavos) a contar de 1º de janeiro de 2016.",2015-08-13T19:03:00Z,camara,Supremo Tribunal Federal,Aumento do Supremo,Agenda Governo,Urgência,Plenário,Dep. Fábio Ramalho (PMDB-MG),0,NA
126084,PLC,27,"Dispõe sobre o subsídio do Ministro do Supremo Tribunal Federal referido no inciso XV do art. 48 da Constituição Federal, e dá outras providências.",2016-06-08T00:00:00Z,senado,Supremo Tribunal Federal  ,Aumento do Supremo,Agenda Governo,Ordinária,Plenário,Ricardo Ferraço,1.19,NA
2120019,PL,6621,"Dispõe sobre a gestão, a organização, o processo decisório e o controle social das agências reguladoras, altera a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 9.472, de 16 de julho de 1997, a Lei nº 9.478, de 6 de agosto de 1997, a Lei nº 9.782, de 26 de janeiro de 1999, a Lei nº 9.961, de 28 de janeiro de 2000, a Lei nº 9.984, de 17 de julho de 2000, a Lei nº 9.986, de 18 de julho de 2000, a Lei nº 10.233, de 5 de junho de 2001, a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, a Lei nº 11.182, de 27 de setembro de 2005, e a Lei nº 10.180, de 6 de fevereiro de 2001, e dá outras providências. ",2016-12-06T18:27:00Z,camara,Senado Federal - Eunício Oliveira,Lei das Agências Reguladoras,Agenda Governo,Prioridade,Conclusiva,Dep. Osmar Serraglio (PP-PR),2.52,NA
111048,PLS,52,"Dispõe sobre a gestão, a organização e o controle social das Agências Reguladoras, acresce e altera dispositivos das Leis nº 9.472, de 16 de julho de 1997, nº 9.478, de 6 de agosto de 1997, nº 9.782, de 26 de janeiro de 1999, nº 9.961, de 28 de janeiro de 2000, nº 9.984, de 17 de julho de 2000, nº 9.986, de 18 de julho de 2000, e nº 10.233, de 5 de junho de 2001, nº 9.433 de 8 de janeiro de 1997, da Medida Provisória nº 2.228-1, de 6 de setembro de 2001, e dá outras providências.",2013-02-26T00:00:00Z,senado,Eunício Oliveira MDB / CE,Lei das Agências Reguladoras,Agenda Governo,Ordinária,Plenário,Simone Tebet,0,NA
51066,PLP,307,"Acrescenta dispositivo à Lei nº 101, de 04 de maio de 2000, de modo a excluir do limite de gasto com pessoal os recursos advindos do FUNDEF, nos termos do art. 60, § 5º do ADCT. Tratando dos gastos com o pagamento dos professores do ensino fundamental.",2002-05-08T17:59:00Z,camara,Luiz Sérgio,Deixa de incluir FUNDEF no limite de gastos com pessoal,Educação,Prioridade,Plenário,Dep. Paulo Magalhães (PSD-BA),14.22,NA
