id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,apelido,tema,regime_tramitacao,forma_apreciacao,relator_nome,temperatura
546383,PL,3974,"Dá nova redação ao art. 406 da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para conferir à Justiça do Trabalho a competência para autorizar o menor a desenvolver trabalho artístico. ",2012-05-30T14:58:00Z,camara,camara,MANOEL JUNIOR,PB,MDB,Trabalho infantil artístico,Direitos Humanos,Ordinária,Conclusiva,Dep. Otto Alencar Filho (PSD-BA),0.36
120768,PLS,231,"Altera o art. 60 do Estatuto da Criança e do Adolescente para dispor sobre a participação artística, desportiva e afim.",2015-04-16T00:00:00Z,senado,senado,Valdir Raupp MDB / RO,NA,NA,Trabalho infantil artístico e despostivo,Direitos Humanos,Ordinária,Plenário,Leila Barros,0.04
1594911,PL,2517,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), a Lei nº 11.343, de 23 de agosto de 2006 (Lei de Drogas), a Lei nº 12.462, de 4 de agosto de 2011, a Lei nº 12.594, de 18 de janeiro de 2012, que 'institui o Sistema Nacional de Atendimento Socioeducativo (Sinase)', e a Lei nº 12.850, de 2 de agosto de 2013 (Lei de Organização Criminosa)"". ",2015-08-05T11:01:00Z,camara,senado,Senado Federal - José Serra,NA,NA,Aumento do tempo de internação,Direitos Humanos,Prioridade,Plenário,Relator não encontrado,0.01
121572,PLS,333,"Altera o Decreto-Lei nº 2.848 de 7 de dezembro de 1940 (Código Penal) e as Leis nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), e 12.594, de 18 de janeiro de 2012 (SINASE).",2015-06-02T00:00:00Z,senado,senado,José Serra PSDB / SP,NA,NA,Aumento do tempo de internação,Direitos Humanos,Ordinária,Plenário,José Pimentel,0
604888,PL,7005,"Acrescenta os §§ 3º e 4º na Lei nº 9.709, de 18 de novembro de 1998, para estabelecer a possibilidade de subscrição eletrônica para apresentação de projeto de lei de iniciativa popular. ",2013-12-18T15:55:00Z,camara,senado,Senado Federal - Serys Slhessarenko,NA,NA,Assinatura eletrônica em Leis de Iniciativa Popular,Integridade e Transparência,Urgência,Plenário,Dep. Luiz Couto (PT-PB),0.11
96813,PLS,129,"Altera a Lei nº 9.709, de 18 de novembro de 1998, para estabelecer a possibilidade de subscrição eletrônica para apresentação de projeto de lei de iniciativa popular.",2010-05-11T00:00:00Z,senado,senado,Serys Slhessarenko PT / MT,NA,NA,Assinatura eletrônica em Leis de Iniciativa Popular,Integridade e Transparência,Ordinária,Plenário,Sérgio Petecão,0
2192459,PEC,6,"Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências. ",2019-02-20T10:37:00Z,camara,camara,Poder Executivo,NA,NA,Nova Previdência,Agenda Nacional,Especial,Plenário,Dep. Samuel Moreira (PSDB-SP),319.64
135064,MPV,870,Estabelece a organização básica dos órgãos da Presidência da República e dos Ministérios.,2019-01-01T00:00:00Z,senado,camara,Presidência da República  ,NA,NA,Monitoramento e Acompanhamento de ONGs,Agenda Nacional,Urgência,Plenário,Fernando Bezerra Coelho,12.6
2192352,PL,881,"Altera a Lei nº 4.737, de 15 de julho de 1965 - Código Eleitoral, para criminalizar o uso de caixa dois em eleições. ",2019-02-19T15:48:00Z,camara,camara,Poder Executivo,NA,NA,Pacote Moro Caixa 2,Agenda Nacional,Prioridade,Plenário,Relator não encontrado,2.56
2192353,PL,882,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal, a Lei nº 7.210, de 11 de julho de 1984 - Lei de Execução Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 8.429, de 2 de junho de 1992, a Lei nº 9.296, de 24 de julho de 1996, a Lei nº 9.613, de 3 de março de 1998, a Lei nº 10.826, de 22 de dezembro de 2003, a Lei nº 11.343, de 23 de agosto de 2006, a Lei nº 11.671, de 8 de maio de 2008, a Lei nº 12.037, de 1º de outubro de 2009, a Lei nº 12.850, de 2 de agosto de 2013, e a Lei nº 13.608, de 10 de janeiro de 2018, para estabelecer medidas contra a corrupção, o crime organizado e os crimes praticados com grave violência a pessoa. ",2019-02-19T15:49:00Z,camara,camara,Poder Executivo,NA,NA,Pacote Moro Crime Organizado (Apensado),Agenda Nacional,Prioridade,Plenário,Relator não encontrado,1.52
