cargo,id_parlamentar,nome,partido,uf,situacao,sigla,casa,foto
SUPLENTE,160538,Bohn Gass,PT,RS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160538.jpg
TITULAR,74052,Bosco Costa,PR,SE,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74052.jpg
SUPLENTE,178993,Carlos Henrique Gaguim,DEM,TO,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178993.jpg
SUPLENTE,204426,Carlos Veras,PT,PE,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204426.jpg
SUPLENTE,204369,Caroline de Toni,PSL,SC,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204369.jpg
SUPLENTE,204370,Célio Moura,PT,TO,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204370.jpg
SUPLENTE,141405,Celso Maldaner,MDB,SC,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141405.jpg
SUPLENTE,205476,Charles Fernandes,PSD,BA,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/205476.jpg
SUPLENTE,204440,Christino Aureo,PP,RJ,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204440.jpg
TITULAR,135054,Cristiano Vale,PR,PA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/135054.jpg
TITULAR,141411,Dagoberto Nogueira,PDT,MS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg
SUPLENTE,204367,Daniel Freitas,PSL,SC,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204367.jpg
SUPLENTE,116379,Darci de Matos,PSD,SC,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/116379.jpg
SUPLENTE,160588,Diego Andrade,PSD,MG,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160588.jpg
SUPLENTE,178929,Diego Garcia,PODE,PR,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178929.jpg
TITULAR,160599,Dimas Fabiano,PP,MG,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160599.jpg
TITULAR,143632,Domingos Neto,PSD,CE,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/143632.jpg
TITULAR,160758,Domingos Sávio,PSDB,MG,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160758.jpg
TITULAR,204434,Dra. Vanda Milani,SOLIDARI,AC,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204434.jpg
SUPLENTE,204351,Dr. Luiz Ovando,PSL,MS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204351.jpg
TITULAR,161550,Emidinho Madeira,PSB,MG,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/161550.jpg
SUPLENTE,207309,Enéias Reis,PSL,MG,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/207309.jpg
SUPLENTE,204537,Enrico Misasi,PV,SP,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204537.jpg
TITULAR,204482,Euclydes Pettersen,PSC,MG,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204482.jpg
TITULAR,178871,Evair Vieira de Melo,PP,ES,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178871.jpg
TITULAR,178930,Evandro Roman,PSD,PR,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178930.jpg
SUPLENTE,178953,Expedito Netto,PSD,RO,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178953.jpg
PRESIDENTE,66828,Fausto Pinato,PP,SP,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/66828.jpg
TITULAR,204510,Franco Cartafina,PP,MG,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204510.jpg
TITULAR,204393,Frei Anastacio Ribeiro,PT,PB,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204393.jpg
SUPLENTE,204473,General Girão,PSL,RN,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204473.jpg
SUPLENTE,204527,Geninho Zuliani,DEM,SP,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204527.jpg
SUPLENTE,74383,Giacobo,PR,PR,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74383.jpg
TITULAR,178964,Heitor Schuch,PSB,RS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178964.jpg
TITULAR,204436,Isnaldo Bulhões Jr.,MDB,AL,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204436.jpg
TITULAR,160570,Jerônimo Goergen,PP,RS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160570.jpg
SUPLENTE,204435,Jesus Sérgio,PDT,AC,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204435.jpg
TITULAR,178970,João Daniel,PT,SE,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178970.jpg
TERCEIRO VICE-PRESIDENTE,204386,Jose Mario Schreiner,DEM,GO,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204386.jpg
TITULAR,204474,Juarez Costa,MDB,MT,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204474.jpg
SUPLENTE,74317,Júlio Cesar,PSD,PI,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74317.jpg
TITULAR,204574,Junior Lourenço,PR,MA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204574.jpg
SUPLENTE,204550,Júnior Mano,PR,CE,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204550.jpg
SUPLENTE,204404,Lucas Redecker,PSDB,RS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204404.jpg
SUPLENTE,178931,Luciano Ducci,PSB,PR,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178931.jpg
TITULAR,178954,Lucio Mosquini,MDB,RO,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178954.jpg
TITULAR,160645,Luiz Carlos,PSDB,AP,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160645.jpg
SEGUNDO VICE-PRESIDENTE,162332,Luiz Nishimori,PR,PR,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/162332.jpg
SUPLENTE,166402,Magda Mofatto,PR,GO,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/166402.jpg
SUPLENTE,204469,Manuel Marcos,PRB,AC,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204469.jpg
TITULAR,204471,Mara Rocha,PSDB,AC,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204471.jpg
TITULAR,205863,Marcelo Brum,PSL,RS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/205863.jpg
TITULAR,133810,Marcelo Moraes,PTB,RS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/133810.jpg
TITULAR,160535,Marcon,PT,RS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160535.jpg
TITULAR,204403,Marlon Santos,PDT,RS,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204403.jpg
SUPLENTE,204566,Marreca Filho,PATRI,MA,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204566.jpg
TITULAR,204449,Nelson Barbudo,PSL,MT,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204449.jpg
PRIMEIRO VICE-PRESIDENTE,146307,Neri Geller,PP,MT,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/146307.jpg
TITULAR,194260,Nivaldo Albuquerque,PTB,AL,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/194260.jpg
SUPLENTE,204475,Otaci Nascimento,SOLIDARI,RR,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204475.jpg
TITULAR,204570,Pastor Gildenemyr,PMN,MA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204570.jpg
SUPLENTE,204538,Paulo Bengtson,PTB,PA,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204538.jpg
TITULAR,204395,Pedro Lupion,DEM,PR,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204395.jpg
SUPLENTE,204406,Pedro Westphalen,PP,RS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204406.jpg
TITULAR,204567,Raimundo Costa,PR,BA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204567.jpg
TITULAR,204489,Robério Monteiro,PDT,CE,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204489.jpg
TITULAR,74305,Roberto Pessoa,PSDB,CE,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/74305.jpg
SUPLENTE,204530,Rodrigo Agostinho,PSB,SP,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204530.jpg
TITULAR,160651,Rogério Peninha Mendonça,MDB,SC,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160651.jpg
SUPLENTE,204357,Rose Modesto,PSDB,MS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204357.jpg
SUPLENTE,90842,Santini,PTB,RS,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/90842.jpg
TITULAR,204399,Schiavinato,PP,PR,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204399.jpg
SUPLENTE,178933,Sergio Souza,MDB,PR,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178933.jpg
SUPLENTE,204438,Sergio Toledo,PR,AL,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204438.jpg
SUPLENTE,204437,Severino Pessoa,PRB,AL,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204437.jpg
SUPLENTE,204360,Silvia Cristina,PDT,RO,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204360.jpg
TITULAR,197438,Tito,AVANTE,BA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/197438.jpg
SUPLENTE,178934,Toninho Wandscheer,PROS,PR,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178934.jpg
TITULAR,160610,Valmir Assunção,PT,BA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160610.jpg
TITULAR,141552,Valtenir Pereira,MDB,MT,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/141552.jpg
TITULAR,204396,Vermelho,PSD,PR,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204396.jpg
TITULAR,204483,Vilson da Fetaemg,PSB,MG,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204483.jpg
SUPLENTE,204532,Vinicius Poit,NOVO,SP,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/204532.jpg
SUPLENTE,178952,Walter Alves,MDB,RN,Suplente,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178952.jpg
TITULAR,178889,Zé Carlos,PT,MA,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/178889.jpg
TITULAR,160632,Zé Silva,SOLIDARI,MG,Titular,CAPADR,camara,https://www.camara.leg.br/internet/deputado/bandep/160632.jpg
SUPLENTE,178835,Afonso Motta,PDT,RS,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
SUPLENTE,204501,Alencar Santana Braga,PT,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
TITULAR,204571,Alex Santana,PDT,BA,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204571.jpg
TITULAR,74471,André de Paula,PSD,PE,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/74471.jpg
TITULAR,133439,André Figueiredo,PDT,CE,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/133439.jpg
SEGUNDO VICE-PRESIDENTE,73696,Angela Amin,PP,SC,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg
SUPLENTE,141391,Arnaldo Jardim,CIDADANIA,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
SUPLENTE,141335,Beto Faro,PT,PA,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/141335.jpg
TITULAR,204388,Bibo Nunes,PSL,RS,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204388.jpg
SUPLENTE,141513,Bilac Pinto,DEM,MG,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/141513.jpg
SUPLENTE,204487,Capitão Wagner,PROS,CE,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204487.jpg
TITULAR,204361,Carlos Chiodini,MDB,SC,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204361.jpg
SUPLENTE,204380,Celina Leão,PP,DF,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204380.jpg
TITULAR,204504,Cezinha de Madureira ,PSD,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204504.jpg
TITULAR,141408,Cleber Verde,PRB,MA,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/141408.jpg
SUPLENTE,204367,Daniel Freitas,PSL,SC,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204367.jpg
TITULAR,204409,Daniel Trzeciak,PSDB,RS,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204409.jpg
TITULAR,204511,David Soares,DEM,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204511.jpg
SUPLENTE,164359,Delegado Waldir,PSL,GO,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/164359.jpg
SUPLENTE,143632,Domingos Neto,PSD,CE,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/143632.jpg
SUPLENTE,204518,Dr. Frederico,PATRI,MG,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204518.jpg
SUPLENTE,178977,Eduardo Cury,PSDB,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/178977.jpg
TITULAR,171623,Fabio Reis,MDB,SE,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/171623.jpg
SUPLENTE,204477,Felício Laterça,PSL,RJ,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204477.jpg
SUPLENTE,204371,Felipe Rigoni,PSB,ES,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204371.jpg
PRESIDENTE,160666,Félix Mendonça Júnior,PDT,BA,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/160666.jpg
SUPLENTE,204407,Fernanda Melchionna ,PSOL,RS,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204407.jpg
TITULAR,204484,General Peternelli,PSL,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204484.jpg
TITULAR,204394,Gervásio Maia,PSB,PB,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204394.jpg
SUPLENTE,204491,Gilberto Abramo,PRB,MG,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204491.jpg
TITULAR,73460,Gustavo Fruet,PDT,PR,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/73460.jpg
TITULAR,178909,Hélio Leite,DEM,PA,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/178909.jpg
SUPLENTE,74848,Jandira Feghali,PCdoB,RJ,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/74848.jpg
TITULAR,74273,Jefferson Campos,PSB,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/74273.jpg
SUPLENTE,178842,Jhc,PSB,AL,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/178842.jpg
SUPLENTE,204429,João H. Campos,PSB,PE,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204429.jpg
SUPLENTE,205550,Jorge Braz,PRB,RJ,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/205550.jpg
TITULAR,204372,Julio Cesar Ribeiro,PRB,DF,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204372.jpg
SUPLENTE,151208,Laercio Oliveira,PP,SE,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/151208.jpg
SUPLENTE,160534,Lauriete,PR,ES,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/160534.jpg
SUPLENTE,139285,Lídice da Mata,PSB,BA,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/139285.jpg
SUPLENTE,204405,Liziane Bayer,PSB,RS,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204405.jpg
TITULAR,204382,Loester Trutis,PSL,MS,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204382.jpg
SUPLENTE,204410,Luisa Canziani,PTB,PR,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204410.jpg
SUPLENTE,204381,Luis Miranda,DEM,DF,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204381.jpg
TITULAR,74784,Luiza Erundina,PSOL,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/74784.jpg
PRIMEIRO VICE-PRESIDENTE,81055,Márcio Jerry,PCdoB,MA,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/81055.jpg
SUPLENTE,204522,Marco Bertaiolli,PSD,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204522.jpg
SUPLENTE,204431,Marcos Aurélio Sampaio,MDB,PI,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204431.jpg
SUPLENTE,204430,Margarete Coelho,PP,PI,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204430.jpg
TITULAR,171619,Margarida Salomão,PT,MG,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/171619.jpg
SUPLENTE,204453,Natália Bonavides,PT,RN,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204453.jpg
SUPLENTE,141516,Paulo Abi-Ackel,PSDB,MG,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/141516.jpg
SUPLENTE,193726,Paulo Eduardo Martins,PSC,PR,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/193726.jpg
SUPLENTE,160558,Paulo Freire Costa,PR,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/160558.jpg
SUPLENTE,204461,Paulo Ganime,NOVO,RJ,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204461.jpg
TITULAR,74574,Paulo Magalhães,PSD,BA,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/74574.jpg
SUPLENTE,204383,Professor Israel Batista,PV,DF,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204383.jpg
SUPLENTE,178989,Renata Abreu,PODE,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/178989.jpg
TITULAR,152610,Roberto Alves,PRB,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/152610.jpg
TITULAR,204530,Rodrigo Agostinho,PSB,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204530.jpg
SUPLENTE,141531,Rodrigo de Castro,PSDB,MG,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/141531.jpg
SUPLENTE,73604,Rui Falcão,PT,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/73604.jpg
SUPLENTE,160635,Ruy Carneiro,PSDB,PB,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/160635.jpg
TITULAR,204535,Sâmia Bomfim,PSOL,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204535.jpg
SUPLENTE,74356,Silas Câmara,PRB,AM,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/74356.jpg
SUPLENTE,204534,Tabata Amaral ,PDT,SP,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204534.jpg
TITULAR,206231,Ted Conti,PSB,ES,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/206231.jpg
SUPLENTE,143084,Tiago Dimas,SOLIDARI,TO,Suplente,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/143084.jpg
TITULAR,204532,Vinicius Poit,NOVO,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204532.jpg
TITULAR,178992,Vitor Lippi,PSDB,SP,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/178992.jpg
TITULAR,204517,Zé Vitor,PR,MG,Titular,CCTCI,camara,https://www.camara.leg.br/internet/deputado/bandep/204517.jpg
SUPLENTE,204528,Adriana Ventura,NOVO,SP,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
SUPLENTE,74646,Aécio Neves,PSDB,MG,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg
TITULAR,178835,Afonso Motta,PDT,RS,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
TITULAR,160527,Aguinaldo Ribeiro,PP,PB,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
TITULAR,160559,Alceu Moreira,MDB,RS,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
TITULAR,204501,Alencar Santana Braga,PT,SP,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
SUPLENTE,160545,Alexandre Leite,DEM,SP,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160545.jpg
SUPLENTE,178972,Alex Manente,CIDADANIA,SP,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
SUPLENTE,178927,Aliel Machado,PSB,PR,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178927.jpg
SUPLENTE,73696,Angela Amin,PP,SC,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg
TITULAR,160600,Arthur Oliveira Maia,DEM,BA,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg
TITULAR,160512,Aureo Ribeiro,SOLIDARI,RJ,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/160512.jpg
TITULAR,178948,Beto Rosado,PP,RN,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178948.jpg
PRIMEIRO VICE-PRESIDENTE,204374,Bia Kicis,PSL,DF,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204374.jpg
TITULAR,141513,Bilac Pinto,DEM,MG,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141513.jpg
SUPLENTE,204520,Cabo Junio Amaral,PSL,MG,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204520.jpg
SUPLENTE,93083,Cacá Leão,PP,BA,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/93083.jpg
SUPLENTE,204487,Capitão Wagner,PROS,CE,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204487.jpg
TITULAR,204369,Caroline de Toni,PSL,SC,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204369.jpg
SUPLENTE,204499,Cássio Andrade,PSB,PA,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204499.jpg
TITULAR,141405,Celso Maldaner,MDB,SC,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/141405.jpg
SUPLENTE,204476,Chiquinho Brazão,AVANTE,RJ,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204476.jpg
SUPLENTE,204462,Chris Tonietto,PSL,RJ,Suplente,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/204462.jpg
TITULAR,178939,Clarissa Garotinho,PROS,RJ,Titular,CCJC,camara,https://www.camara.leg.br/internet/deputado/bandep/178939.jpg
