id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo
2203660,PL,2933,"Altera a Lei nº 13.257, de 8 de março de 2016, que dispõe sobre as políticas públicas para a primeira infância e dá outras providências, para tratar das visitas domiciliares. ",2019-05-16T14:39:00Z,camara,camara,Professora Dayane Pimentel,BA,PSL,Ordinária,Conclusiva,81297,181297,16
533790,PL,3092,"Que dispõe sobre a obrigatoriedade de fornecimento de medicamentos gratuito pelo SUS  para tratar Hiperatividade e TDHA em crianças portadoras da síndrome sem distinção de classe, nem mesmo aqueles pacientes que não se enquadram como os mais carentes poderão ser  excluídos do benefício. ",2012-02-02T14:16:00Z,camara,camara,Dimas Fabiano,MG,PP,Ordinária,Conclusiva,178929,1178929,18
534328,PL,3179,"Acrescenta parágrafo ao art. 23 da Lei nº 9.394, de 1996, de diretrizes e bases da educação nacional, para dispor sobre a possibilidade de oferta domiciliar da educação básica. ",2012-02-08T18:08:00Z,camara,camara,Lincoln Portela,MG,PL,Prioridade,Plenário,160639,1160639,19
2190895,PL,335,"Acrescenta inciso ao § 1º do art. 5º da Lei nº 9.394, de 20 de dezembro de 1996, de diretrizes e bases da educação nacional, para determinar ao poder público a obrigação de divulgar a lista de espera, por vagas, nos estabelecimentos de Educação Básica de suas redes de ensino. ",2019-02-04T19:00:00Z,camara,camara,Carmen Zanotto,SC,CIDADANIA,Ordinária,Conclusiva,204367,1204367,20
946629,PL,351,"Dispõe sobre a obrigatoriedade da prestação de atendimento contínuo em creches, destinadas à Educação infantil. ",2015-02-11T14:00:00Z,camara,camara,FELIPE BORNIER,RJ,PROS,Ordinária,Conclusiva,178929,1178929,21
2208697,PL,3644,"Altera a Lei nº 13.257, de 8 de março de 2016 (Marco Legal da Primeira Infância) para dispor sobre os direitos das crianças cujas mães e pais estejam submetidos a medida privativa de liberdade. ",2019-06-18T20:03:00Z,camara,NA,,NA,NA,Prioridade,Plenário,178832,1178832,22
2210200,PL,3826,"Cria o ""Orçamento Criança"" e dá outras providências. ",2019-07-02T16:08:00Z,camara,camara,Luiz Lima,RJ,PSL,Ordinária,Conclusiva,81297,181297,23
2210372,PL,3842,"Tipifica criminalmente a conduta, de pais ou responsáveis, de omissão ou de contraposição à vacinação de crianças ou adolescentes, incluindo artigo no Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal. ",2019-07-02T20:42:00Z,camara,camara,Alice Portugal,BA,PCdoB,Ordinária,Plenário,204406,1204406,24
408349,PL,3935,"Acrescenta arts. 473-A a 473-C à Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para regulamentar a licença-paternidade a que se refere o inciso XIX do art. 7º da Constituição Federal. ",2008-08-28T18:29:00Z,camara,NA,,NA,NA,Urgência,Plenário,4930,14930,25
2075025,PL,4028,Institui a política nacional de assistência à saúde do estudante na rede pública de ensino. ,2015-12-15T21:26:00Z,camara,camara,MARCELO BELINATI,PR,PP,Ordinária,Conclusiva,178956,1178956,26
20703,PL,4157,"Institui o Programa Nacional de Apoio à Infância, dispõe sobre a ampliação dos benefícios da merenda escolar e dá outras providências. Viabiliza a alimentação de gestantes e crianças de zero a sete anos.",1998-02-11T00:00:00Z,camara,camara,HÉLIO BICUDO,SP,PT,Urgência,Plenário,74533,174533,27
2191094,PL,424,"Altera o art. 30 da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional. ",2019-02-05T15:18:00Z,camara,camara,Rubens Bueno,PR,CIDADANIA,Ordinária,Conclusiva,178939,1178939,28
2213791,PL,4275,"Altera a Lei no 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente, para revogar as alterações estabelecidas pela Lei nº 13.010, de 13 de julho de 2014 e Lei nº 13.046 de 1º de dezembro de 2014 e dispor sobre o dever de obediência e disciplina da Criança e do Adolescente aos pais, responsáveis e professores. ",2019-08-06T20:17:00Z,camara,camara,Delegado Waldir,GO,PSL,Ordinária,Conclusiva,178989,1178989,29
2191163,PL,468,Cria o Cartão Nacional de Vacinação On Line ,2019-02-05T16:07:00Z,camara,camara,Dr. Luiz Antonio Teixeira Jr.,RJ,PP,Prioridade,Conclusiva,204406,1204406,30
560047,PL,4731,"Altera o parágrafo único do art. 25 da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para estabelecer o número máximo de alunos por turma na pré-escola e no ensino fundamental e médio. ",2012-11-19T11:54:00Z,camara,NA,,NA,NA,Prioridade,Conclusiva,74057,174057,31
949156,PL,479,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação - LDB), para dispor sobre educação em tempo integral. ",2015-02-26T11:02:00Z,camara,camara,João Daniel,SE,PT,Prioridade,Conclusiva,160592,1160592,32
2220934,PL,5148,"Altera a Lei nº 8.242, de 12 de outubro de 1991, destinando recursos do Fundo Nacional para a Criança e o Adolescente às políticas públicas, projetos e programas voltados para a primeira infância. ",2019-09-18T17:05:00Z,camara,camara,Paula Belmonte,DF,CIDADANIA,Ordinária,Conclusiva,160598,1160598,33
2088318,PL,5592,Institui a Política Nacional de Atendimento Educacional Especializado a Crianças de 0 a 3 (três) anos - Precoce. ,2016-06-15T17:21:00Z,camara,camara,Erika Kokay,DF,PT,Ordinária,Conclusiva,204501,1204501,34
578426,PL,5647,"Altera a Lei nº 8.069, de 14 de julho de 1990, que ""Dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências"", para obrigar os dirigentes de instituições de educação pré-escolar a notificar as faltas frequentes e sinais de maus tratos envolvendo seus alunos. ",2013-05-23T17:28:00Z,camara,camara,ROSANE FERREIRA,PR,PV,Urgência,Plenário,141523,1141523,35
2230008,PL,6072,"Modifica a Lei nº 10.836, de 9 de janeiro de 2004, para reformular os benefícios financeiros do Programa Bolsa Família, assegurar a atualização monetária anual dos valores dos benefícios e dos valores referenciais para caracterização de situação de pobreza e de extrema pobreza; prever o desligamento voluntário de famílias beneficiárias e o retorno automático ao Programa; revoga o art. 2º, o art. 2º-A, o parágrafo único do art. 3º e o parágrafo único do art. 6º da Lei nº 10.836, de 9 de janeiro de 2004; e dá outras providências. ",2019-11-20T12:58:00Z,camara,camara,Adriana Ventura+Aguinaldo Ribeiro+André de Paula+André Ferreira+André Figueiredo+Arnaldo Jardim+Arthur Lira+Augusto Coutinho+Baleia Rossi+Beto Pereira+Carlos Sampaio+Célio Studart+Celso Sabino+Daniel Almeida+Daniel Coelho+Eduardo Braide+Eduardo Cury+Elmar Nascimento+Enrico Misasi+Evair Vieira de Melo+Felipe Rigoni+Fernanda Melchionna+Franco Cartafina+Fred Costa+Geninho Zuliani+Jhonatan de Jesus+João H. Campos+Joenia Wapichana+José Nelto+Leandre+Luis Tibé+Luisa Canziani+Marcelo Ramos+Marco Bertaiolli+Mariana Carvalho+Orlando Silva+Paula Belmonte+Paulo Ganime+Paulo Pimenta+Pedro Cunha Lima+Pedro Lucas Fernandes+Pedro Paulo+Perpétua Almeida+Professor Israel Batista+Rafael Motta+Raul Henry+Rodrigo Agostinho+Rose Modesto+Rubens Bueno+Ruy Carneiro+Samuel Moreira+Silvio Costa Filho+Tabata Amaral+Tadeu Alencar+Tiago Mitraud+Toninho Wandscheer+Vinicius Poit+Wellington Roberto,SP+PB+PE+PE+CE+SP+AL+PE+SP+MS+SP+CE+PA+BA+PE+MA+SP+BA+SP+ES+ES+RS+MG+MG+SP+RR+PE+RR+GO+PR+MG+PR+AM+SP+RO+SP+DF+RJ+RS+PB+MA+RJ+AC+DF+RN+PE+SP+MS+PR+PB+SP+PE+SP+PE+MG+PR+SP+PB,NOVO+PP+PSD+PSC+PDT+CIDADANIA+PP+SOLIDARIEDADE+MDB+PSDB+PSDB+PV+PSDB+PCdoB+CIDADANIA+PODE+PSDB+DEM+PV+PP+PSB+PSOL+PP+PATRIOTA+DEM+REPUBLICANOS+PSB+REDE+PODE+PV+AVANTE+PTB+PL+PSD+PSDB+PCdoB+CIDADANIA+NOVO+PT+PSDB+PTB+DEM+PCdoB+PV+PSB+MDB+PSB+PSDB+CIDADANIA+PSDB+PSDB+REPUBLICANOS+PDT+PSB+NOVO+PROS+NOVO+PL,Ordinária,Conclusiva,74655,174655,36
595991,PL,6550,"Institui o Programa Creche para Todos, autorizando os governos dos Estados, Municípios e Distrito Federal a firmarem convênios com instituições privadas de atendimento a crianças de 0 a 3 anos, para aquisição de vagas, objetivando o atendimento aos excedentes da rede pública, e dá outras providências. ",2013-10-09T19:45:00Z,camara,camara,Onyx Lorenzoni,RS,DEM,Ordinária,Conclusiva,178884,1178884,39
465835,PL,6755,"Altera a redação dos arts. 4º, 6º, 29, 30, 32 e 87 da Lei nº 9.394, de 20 de dezembro de 1996, que ""estabelece as diretrizes e bases da educação nacional"", dispondo sobre a educação infantil até os 5 (cinco) anos de idade e o ensino fundamental a partir dessa idade. ",2010-02-05T10:39:00Z,camara,NA,,NA,NA,Prioridade,Conclusiva,204418,1204418,40
467520,PL,6868,Autoriza o Poder Público a realizar exames anuais de saúde nos estudantes dos ensinos fundamental e médio e institui a Semana Nacional da Saúde na Escola. ,2010-03-01T18:06:00Z,camara,NA,,NA,NA,Prioridade,Plenário,69871,169871,41
606722,PL,7180,"Altera o art. 3º da Lei nº 9.394, de 20 de dezembro de 1996. Inclui entre os princípios do ensino  o respeito às convicções do aluno, de seus pais ou responsáveis, dando  precedência aos valores de ordem familiar   sobre a educação escolar nos aspectos relacionados à educação moral, sexual e religiosa.   Adapta a legislação à Convenção Americana sobre Direitos
Humanos (Pacto de São José da Costa Rica), de 22 de novembro de 1969,  ratificada pelo Governo Brasileiro.",2014-02-24T11:32:00Z,camara,camara,ERIVELTON SANTANA,BA,PATRI,Ordinária,Conclusiva,178978,1178978,42
332457,PL,7420,Dispõe sobre a qualidade da educação básica e a responsabilidade dos gestores públicos na sua promoção. ,2006-08-09T18:04:00Z,camara,camara,PROFESSORA RAQUEL TEIXEIRA,GO,PSDB,Prioridade,Plenário,69871,169871,43
615717,PL,7569,"DISPÕE SOBRE A IMPLANTAÇÃO DO PROGRAMA DE ATENDIMENTO PSICOLÓGICO ÀS VÍTIMAS DE ALIENAÇÃO PARENTAL, AMPARADAS PELA LEI 12.318/10 (LEI DE ALIENAÇÃO PARENTAL) ",2014-05-15T12:57:00Z,camara,camara,LUCIO VIEIRA LIMA,BA,MDB,Ordinária,Conclusiva,112437,1112437,44
2137635,PL,7643,"Institui o Programa Nacional de Apoio à Manutenção de Crianças Carentes em Creches (PROCRECHE) e o Fundo Nacional de Apoio à Manutenção de Crianças Carentes em Creches (FUNCRECHE), e dá outras providências. Altera a Lei nº 9.250, de 1995.",2017-05-16T16:39:00Z,camara,camara,Daniel Coelho+Pedro Cunha Lima+PEDRO VILELA,PE+PB+AL,CIDADANIA+PSDB+PSDB,Ordinária,Conclusiva,204377,1204377,45
2192230,PL,826,Dispõe sobre o Programa Nacional de Vacinação em Escolas Públicas. ,2019-02-14T16:34:00Z,camara,camara,Domingos Sávio,MG,PSDB,Ordinária,Conclusiva,178912,1178912,46
2155290,PL,8816,"Altera a Lei nº 11.947, de 16 de junho de 2009, que dispõe sobre o atendimento da alimentação escolar aos alunos da educação básica, para incrementar o valor per capita destinado a escolas situadas em Municípios em situação de extrema pobreza. ",2017-10-05T10:20:00Z,camara,NA,,NA,NA,Prioridade,Plenário,178951,1178951,47
2163452,PL,9188,"Acrescenta parágrafo ao art. 130 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para garantir a proteção da integridade psíquica e física da criança. ",2017-11-28T17:07:00Z,camara,camara,Rafael Motta,RN,PSB,Ordinária,Conclusiva,74398,174398,48
944309,PL,43,"Altera o inciso XIII do art. 12 da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as Diretrizes e Bases da Educação Nacional, tornando obrigatória a apresentação da caderneta de saúde da criança para efetivar matrícula na educação infantil. ",2015-02-02T16:01:00Z,camara,camara,Sergio Vidigal,ES,PDT,Ordinária,Conclusiva,160587,1160587,55
534072,PL,3146,Dispõe sobre a apresentação do Cartão da Criança ou da Caderneta de Saúde da Criança nas escolas públicas e privadas do Sistema Nacional de Educação. ,2012-02-07T16:48:00Z,camara,camara,Weliton Prado,MG,PROS,Ordinária,Conclusiva,73466,173466,58
1302254,PL,1808,"Altera a  Lei nº 11.494, de 20 de junho de 2007, de forma a alterar o § 3º do art. 8º. Trata do mecanismo do Fundeb para as matrículas das pré-escolas comunitárias, confessionais ou filantrópicas, sem fins lucrativos, conveniadas com o poder público.",2015-06-09T11:07:00Z,camara,camara,ODELMO LEÃO,MG,PP,Ordinária,Conclusiva,129618,1129618,60
621792,PL,7889,"Cria cargos efetivos, cargos em comissão e funções comissionadas no quadro de pessoal do Tribunal Superior Eleitoral e dá outras providências. ",2014-08-14T15:53:00Z,camara,camara,ABELARDO CAMARINHA+ANDRE MOURA+ANTONIO IMBASSAHY+BETO ALBUQUERQUE+EDUARDO CUNHA+Félix Mendonça Júnior+FRANCISCO TENÓRIO+Giacobo+GIVALDO CARIMBÃO+Ivan Valente+Jandira Feghali+MENDONÇA FILHO+MOREIRA MENDES+Rubens Bueno+TOLEDO+VILSON COVATTI,SP+SE+BA+RS+RJ+BA+AL+PR+AL+SP+RJ+PE+RO+PR+SP+RS,PSB+PSC+PSDB+PSB+MDB+PDT+PMN+PL+AVANTE+PSOL+PCdoB+DEM+PSD+CIDADANIA+NA+PP**,Prioridade,Conclusiva,178913,1178913,67
1999535,PL,3212,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para caracterizar o abandono afetivo como ilícito civil. ",2015-10-06T17:46:00Z,camara,NA,,NA,NA,Prioridade,Conclusiva,204369,1204369,68
2166851,PL,9418,Regulamenta o período específico para o acolhimento institucional. Altera a Lei nº 8.069 de 1990.,2017-12-19T19:52:00Z,camara,camara,Mariana Carvalho,RO,PSDB,Ordinária,Conclusiva,178876,1178876,69
2082295,PL,5057,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para incluir a possibilidade de matrícula em escola pública, sem apresentação de certidão de nascimento. ",2016-04-20T18:04:00Z,camara,NA,,NA,NA,Prioridade,Plenário,178930,1178930,70
285505,PL,5234,"Institui a proteção especial às crianças ou adolescentes ameaçados de morte, cria o Programa Federal de Proteção Especial às Crianças e Adolescentes Ameaçados de Morte, e dá outras providências. Criando, ainda, o Sistema de Informações para a Infância e a Adolescência - Módulo INFOINFRA, que conterá informações sobre adolescentes em conflito com a lei.",2005-05-16T10:53:00Z,camara,camara,Poder Executivo,NA,NA,Prioridade,Plenário,74784,174784,71
996835,PL,708,"Estabelece normas gerais sobre segurança escolar e dá outras providências. Altera a Lei nº 9.394, de 1996.",2015-03-12T15:50:00Z,camara,camara,Alan Rick,AC,DEM,Ordinária,Conclusiva,204565,1204565,74
577133,PL,5590,"Autoriza o Poder Executivo a criar o Programa ""Vida em Família"" e dá outras providências. Criar um auxílio financeiro ao servidor público que adotar uma criança ou adolescente.",2013-05-15T19:26:00Z,camara,camara,Giovani Cherini,RS,PL,Ordinária,Conclusiva,204409,1204409,75
605512,PL,7047,"Cria o Programa Família Acolhedora na Família Extensa, conforme art. 227 da Constituição Federal e arts. 4º, 25 e 101 do Estatuto da Criança e do Adolescente, visando propiciar o acolhimento de crianças e adolescentes afastados do convívio familiar por decisão judicial. ",2014-02-04T20:49:00Z,camara,camara,Paulo Freire Costa,SP,PL,Ordinária,Conclusiva,178929,1178929,78
403320,PL,3669,"Altera o art. 89 da Lei n° 7.210, de 1984 - Lei de Execução penal - e os arts. 33 e 45 da Lei n° 8.069, de 1990 - Estatuto da Criança e do Adolescente. Torna obrigatória a construção de creches ou locais apropriados para a amamentação e gestação nos presídios femininos.
Esclarece que aquele que cuida do menor enquanto sua mãe está presa detém apenas a guarda da criança e não a efetiva tutela.",2008-07-03T17:05:00Z,camara,NA,,NA,NA,Prioridade,Plenário,178908,1178908,79
2079600,PL,4749,"Tipifica a conduta do parente da vítima, consanguíneo ou por afinidade, do médico, da autoridade religiosa, do professor ou do responsável por estabelecimento de atenção à saúde e de ensino que deixa de comunicar à autoridade competente os casos de que tenha conhecimento, envolvendo suspeita ou confirmação de maus-tratos ou de abuso sexual contra criança ou adolescente, além de exacerbar a punição desses delitos caso praticados no âmbito de instituição de saúde, religiosa, educacional, de assistência social ou recreativa, públicas ou privadas. Altera o Decreto-lei nº 2.848, de 1940 e o Decreto-lei nº 3.689, de 1941.",2016-03-16T11:03:00Z,camara,camara,Roberto Alves+Rosangela Gomes,SP+RJ,REPUBLICANOS+REPUBLICANOS,Urgência,Plenário,204420,1204420,80
644045,PL,8051,"Modifica o art. 47 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para estabelecer prioridade de tramitação aos processos de adoção nos quais os adotandos forem irmãos, negros ou tiverem mais de quatro anos de idade. ",2014-10-30T09:38:00Z,camara,camara,Pr. Marco Feliciano,SP,REPUBLICANOS,Ordinária,Conclusiva,160642,1160642,81
2024195,PL,3369,Institui o Estatuto das Famílias do Século XXI.' ,2015-10-21T17:45:00Z,camara,camara,Orlando Silva,SP,PCdoB,Ordinária,Conclusiva,157130,1157130,82
526021,PL,2641,"Altera a Lei nº 11.947, de 16 de junho de 2009 (alimentação escolar). Proíbe a terceirização ou privatização da gestão da alimentação escolar.",2011-11-01T17:32:00Z,camara,camara,Pedro Uczai,SC,PT,Ordinária,Conclusiva,74398,174398,83
2003335,PL,3227,"Altera a Lei 10.836, de 9 de janeiro de 2004, que ""institui o Programa Bolsa-Família e dá outras providências. Inclui entre as condicionantes para recebimento do benefício Bolsa Família a apresentação da caderneta de saúde da criança.",2015-10-06T19:19:00Z,camara,camara,MARCO TEBALDI,SC,PSDB,Ordinária,Conclusiva,178929,1178929,84
2082230,PL,5041,"Altera o artigo 1.596 da Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil -, para criar a figura do vínculo parental socioafetivo. ",2016-04-18T16:34:00Z,camara,camara,AUGUSTO CARVALHO,DF,SOLIDARIEDADE,Ordinária,Conclusiva,178989,1178989,85
623799,PL,8041,"Acresce o § 4º ao art. 5º da Lei nº 12.037, de 2009. Cria um banco de DNA específico nos crimes contra a dignidade sexual contra crianças e adolescentes.",2014-10-28T17:34:00Z,camara,NA,,NA,NA,Ordinária,Plenário,178989,1178989,86
2153095,PL,8702,"Acrescenta parágrafo ao art. 392 da Consolidação das Leis do Trabalho (CLT) para dispor sobre a suspensão da contagem do período da licença-maternidade até a alta hospitalar nos casos de internação de recém-nascido superior a três dias.

NOVA EMENTA: Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei n° 5.452, de 1° de maio de 1943, e a Lei nº 8.213, de 24 de julho de 1991, para permitir a suspensão, a critério da trabalhadora, do gozo da licença-maternidade e do pagamento do salário-maternidade quando o recém-nascido permanecer em internação hospitalar. ",2017-09-27T12:53:00Z,camara,camara,Renata Abreu,SP,PODE,Urgência,Plenário,164360,1164360,87
976389,PL,629,Dispõe sobre a criação do Cadastro Nacional de Pedófilos. ,2015-03-06T17:25:00Z,camara,camara,VITOR VALIM,CE,PROS,Ordinária,Conclusiva,74160,174160,88
437196,PL,5346,Dispõe sobre a criação da profissão de educador e educadora social e dá outras providências. ,2009-06-03T16:01:00Z,camara,camara,CHICO LOPES,CE,PCdoB,Ordinária,Conclusiva,74171,174171,100
500633,PL,1235,"Acrescenta às hipóteses de crimes hediondos o crime de abandono de incapaz, na condição em que especifica. Altera a Lei nº 8.072, de 1990.",2011-05-04T15:45:00Z,camara,camara,RATINHO JUNIOR,PR,PSC,Ordinária,Plenário,204462,1204462,101
2173210,PL,10104,"Dispõe sobre incentivos à implantação, pelos entes da Federação, de programas de aquisição de material escolar pelas famílias beneficiárias do Programa Bolsa Família”. ",2018-04-25T12:32:00Z,camara,NA,,NA,NA,Prioridade,Conclusiva,160641,1160641,102
360369,PL,1637,"Dispõe sobre oferta, propaganda, publicidade, informação e outras práticas correlatas, cujo objeto seja a divulgação e a promoção de alimentos com quantidades elevadas de açúcar, de gordura saturada, de gordura trans, de sódio, e de bebidas com baixo teor nutricional. ",2007-07-17T15:13:00Z,camara,camara,Carlos Bezerra,MT,MDB,Ordinária,Conclusiva,204422,1204422,103
2213555,PL,4254,Institui a Semana Nacional de Conscientização sobre o Transtorno do Déficit de Atenção com Hiperatividade (TDAH). ,2019-08-06T16:46:00Z,camara,camara,Fred Costa,MG,PATRIOTA,Ordinária,Conclusiva,204518,1204518,104
342729,PL,240,"Altera o art. 1.589 da Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, para assegurar, ao pai ou à mãe em cuja guarda não estejam os filhos, a executoriedade do direito de visita. ",2007-02-27T20:00:00Z,camara,NA,,NA,NA,Prioridade,Plenário,141472,1141472,105
