,comparacao,distancia
152,2204580_2192459_emenda_na_comissao_jus.txt_214,0.0
153,2204580_2192459_emenda_na_comissao_jus.txt_215,0.0
154,2204580_2192459_emenda_na_comissao_jus.txt_216,0.0
155,2204580_2192459_emenda_na_comissao_jus.txt_217,0.0
156,2204580_2192459_emenda_na_comissao_jus.txt_218,0.0
157,2204580_2192459_emenda_na_comissao_jus.txt_220,0.0
158,2204580_2192459_emenda_na_comissao_jus.txt_221,0.0
159,2204580_2192459_emenda_na_comissao_jus.txt_222,0.0
160,2204580_2192459_emenda_na_comissao_jus.txt_223,0.0
161,2204580_2192459_emenda_na_comissao_jus.txt_225,0.0
162,2204580_2192459_emenda_na_comissao_jus.txt_226,0.0
163,2204580_2192459_emenda_na_comissao_jus.txt_227,0.0
164,2204580_2192459_emenda_na_comissao_jus.txt_228,0.0
165,2204580_2192459_emenda_na_comissao_jus.txt_229,0.0
166,2204580_2192459_emenda_na_comissao_jus.txt_230,0.0
167,2204580_2192459_emenda_na_comissao_jus.txt_231,0.0
168,2204580_2192459_emenda_na_comissao_jus.txt_232,0.0
169,2204580_2192459_emenda_na_comissao_jus.txt_233,0.0
170,2204580_2192459_emenda_na_comissao_jus.txt_234,0.0
171,2204580_2192459_emenda_na_comissao_jus.txt_235,0.0
172,2204580_2192459_emenda_na_comissao_jus.txt_236,0.0
173,2204580_2192459_emenda_na_comissao_jus.txt_237,0.0
174,2204580_2192459_emenda_na_comissao_jus.txt_239,0.0
175,2204580_2192459_emenda_na_comissao_jus.txt_240,0.0
176,2204580_2192459_emenda_na_comissao_jus.txt_241,0.0
177,2204580_2192459_emenda_na_comissao_jus.txt_242,0.0
178,2204580_2192459_emenda_na_comissao_jus.txt_243,0.0
179,2204580_2192459_emenda_na_comissao_jus.txt_245,0.0
180,2204580_2192459_emenda_na_comissao_jus.txt_246,0.0
181,2204580_2192459_emenda_na_comissao_jus.txt_248,0.0
182,2204580_2192459_emenda_na_comissao_jus.txt_249,0.0
183,2204580_2192459_emenda_na_comissao_jus.txt_250,0.0
184,2204580_2192459_emenda_na_comissao_jus.txt_251,0.0
185,2204580_2192459_emenda_na_comissao_jus.txt_252,0.0
186,2204580_2192459_emenda_na_comissao_jus.txt_253,0.0
187,2204580_2192459_emenda_na_comissao_jus.txt_254,0.0
188,2204580_2192459_emenda_na_comissao_jus.txt_255,0.0
189,2204580_2192459_emenda_na_comissao_jus.txt_257,0.0
190,2204580_2192459_emenda_na_comissao_jus.txt_258,0.0
191,2204580_2192459_emenda_na_comissao_jus.txt_259,0.0
192,2204580_2192459_emenda_na_comissao_jus.txt_261,0.0
193,2204580_2192459_emenda_na_comissao_jus.txt_262,0.0
194,2204580_2192459_emenda_na_comissao_jus.txt_263,0.0
195,2204580_2192459_emenda_na_comissao_jus.txt_264,0.0
196,2204580_2192459_emenda_na_comissao_jus.txt_266,0.0
197,2204580_2192459_emenda_na_comissao_jus.txt_267,0.0
198,2204580_2192459_emenda_na_comissao_jus.txt_268,0.0
199,2204580_2192459_emenda_na_comissao_jus.txt_270,0.0
200,2204580_2192459_emenda_na_comissao_jus.txt_271,0.0
201,2204580_2192459_emenda_na_comissao_jus.txt_275,0.0
202,2204580_2192459_emenda_na_comissao_jus.txt_276,0.0
203,2204580_2192459_emenda_na_comissao_jus.txt_277,0.0
204,2204580_2192459_emenda_na_comissao_jus.txt_278,0.0
205,2204580_2192459_emenda_na_comissao_jus.txt_279,0.0
206,2204580_2192459_emenda_na_comissao_jus.txt_281,0.0
207,2204580_2192459_emenda_na_comissao_jus.txt_282,0.0
208,2204580_2192459_emenda_na_comissao_jus.txt_283,0.0
209,2204580_2192459_emenda_na_comissao_jus.txt_284,0.0
210,2204580_2192459_emenda_na_comissao_jus.txt_285,0.0
211,2204580_2192459_emenda_na_comissao_jus.txt_288,0.0
212,2204580_2192459_emenda_na_comissao_jus.txt_289,0.0
213,2204580_2192459_emenda_na_comissao_jus.txt_290,0.0
214,2204580_2192459_emenda_na_comissao_jus.txt_292,0.0
215,2204580_2192459_emenda_na_comissao_jus.txt_293,0.0
216,2204580_2192459_emenda_na_comissao_jus.txt_294,0.0
